0.00057314	0.222633
0.00057314	0.2362
0.000702771	0.238914
0.000850607	0.247054
0.000980238	0.257908
0.001405541	0.268761
0.001405541	0.298653
0.001554106	0.309507
0.001554106	0.312221
0.00197941	0.323074
0.00210904	0.331214
0.002256877	0.344782
0.002534344	0.350253
0.002534344	0.35568
0.002830017	0.366533
0.002830017	0.377387
0.003107484	0.390954
0.003107484	0.399094
0.003107484	0.404521
0.003532788	0.420802
0.003662418	0.426273
0.00395882	0.4317
0.004087722	0.445267
0.004384123	0.453407
0.00466159	0.477828
0.00479122	0.480541
0.004939057	0.485968
0.005364361	0.505006
0.005364361	0.505006
0.005512198	0.518573
0.005641828	0.526714
0.005641828	0.532141
0.005919295	0.537567
0.006214968	0.556561
0.006344598	0.564702
0.006769902	0.581026
0.006769902	0.58374
0.007047369	0.589167
0.007343771	0.608161
0.007343771	0.613587
0.007473401	0.621728
0.007769074	0.638008
0.008046541	0.651575
0.008324008	0.665187
0.008324008	0.6679
0.008324008	0.673327
0.008897149	0.692321
0.009026779	0.703175
0.009452082	0.716742
0.009452082	0.724882
0.009600647	0.733022
0.010025951	0.752061
0.010155581	0.762914
0.010155581	0.768341
0.010858352	0.784622
0.010858352	0.806329
0.011006189	0.822654
0.011006189	0.830794
0.011283656	0.838934
0.011431492	0.857928
0.011708959	0.860642
0.011856796	0.868782
0.011986426	0.882349
0.012134263	0.893247
0.012134263	0.901387
0.01241173	0.917668
0.01241173	0.923095
0.012560295	0.928521
0.012837762	0.944802
0.012985598	0.952942
0.013263065	0.974694
0.013263065	0.985548
0.013263065	0.990974
0.013540532	1.004542
0.013836206	1.015395
0.01439114	1.023535
0.014816443	1.034389
0.014965008	1.048001
0.01509391	1.056141
0.01509391	1.064281
0.01509391	1.083275
0.015242475	1.085988
0.015390312	1.096842
0.015667779	1.115836
0.015945246	1.121307
0.016222713	1.129448
0.016370549	1.148441
0.016518386	1.153868
0.016648016	1.162009
0.016648016	1.175576
0.01707332	1.186429
0.017221157	1.205468
0.017498624	1.210894
0.017647189	1.221748
0.017776091	1.235315
0.018072492	1.248882
0.018072492	1.257022
0.018349959	1.27059
0.018479589	1.286915
0.018775263	1.297768
0.01905273	1.319476
0.01905273	1.322189
0.019200567	1.343896
0.019200567	1.352081
0.019330197	1.360221
0.0197555	1.379215
0.020032967	1.384642
0.020180804	1.395496
0.020180804	1.411776
0.020606836	1.417203
0.020884303	1.425343
0.02103214	1.438955
0.02103214	1.452522
0.021457443	1.460662
0.02173491	1.471516
